assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,5,0,6.1,1716,0.01,0.01,0.0,0.0,222,0,0,0.9,2.4,2024-02-04 14:00:00+00:00,12,3,0,0,0,0,23,0,696,0,1,1,0.0,1,655,685,30,50,False,0,3,Giovanni Reyna,16,BOU,1055,1145,NFO,1125,1080,1,2023
0,0,4,0,14.4,1716,0.01,0.07,0.06,0.0,237,0,0,2.7,4.4,2024-02-10 17:30:00+00:00,17,15,0,0,0,0,24,0,1070,0,3,2,8.0,1,344,485,141,50,True,0,3,Giovanni Reyna,16,NEW,1210,1355,NFO,1050,1080,1,2023
0,0,0,0,0.0,1716,0.0,0.0,0.0,0.0,248,0,0,0.0,0.0,2024-02-17 15:00:00+00:00,0,19,0,0,0,0,25,0,1078,0,0,2,0.0,0,-12,203,215,50,True,0,3,Giovanni Reyna,16,WHU,1140,1150,NFO,1050,1080,1,2023
0,0,2,0,0.9,1716,0.0,0.0,0.0,0.33,252,0,0,0.1,0.0,2024-02-24 15:00:00+00:00,9,2,0,0,0,0,26,0,959,0,2,4,0.0,1,-149,76,225,49,False,0,3,Giovanni Reyna,16,AVL,1140,1180,NFO,1125,1080,1,2023
0,0,0,0,0.0,1716,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2024-03-02 15:00:00+00:00,0,12,0,0,0,0,27,0,869,0,1,0,0.0,0,-132,23,155,48,True,0,3,Giovanni Reyna,16,LIV,1350,1390,NFO,1050,1080,1,2023
0,0,0,0,0.0,1716,0.0,0.0,0.0,0.0,274,0,0,0.0,0.0,2024-03-10 14:00:00+00:00,0,5,0,0,0,0,28,0,792,0,0,1,0.0,0,-95,24,119,48,False,0,3,Giovanni Reyna,16,BHA,1070,1135,NFO,1125,1080,1,2023
0,0,0,0,0.0,1716,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2024-03-16 15:00:00+00:00,0,22,0,0,0,0,29,0,696,0,1,1,0.0,0,-64,30,94,47,False,0,3,Giovanni Reyna,16,LUT,1020,1090,NFO,1125,1080,1,2023
0,0,2,0,4.7,1716,0.01,0.08,0.07,0.19,298,0,0,2.3,6.8,2024-03-30 15:00:00+00:00,30,7,0,0,0,0,30,0,739,0,1,1,11.0,1,-14,47,61,47,True,0,3,Giovanni Reyna,16,CRY,1120,1085,NFO,1050,1080,1,2023
0,0,5,0,0.1,1716,0.0,0.0,0.0,0.21,305,0,0,0.3,2.4,2024-04-02 18:30:00+00:00,13,9,0,0,0,0,31,0,786,0,1,3,0.0,1,31,65,34,47,True,0,3,Giovanni Reyna,16,FUL,1180,1170,NFO,1050,1080,1,2023
0,0,2,0,1.9,1716,0.0,0.0,0.0,0.14,319,0,0,1.3,5.4,2024-04-07 17:00:00+00:00,9,18,0,0,0,0,32,0,725,0,1,3,6.0,1,-66,10,76,47,False,0,3,Giovanni Reyna,16,TOT,1110,1230,NFO,1125,1080,1,2023
1,0,16,0,36.5,1716,0.22,0.45,0.23,1.05,329,2,0,8.6,23.8,2024-04-13 14:00:00+00:00,70,20,0,0,0,0,33,0,726,1,2,2,26.0,5,-13,38,51,47,True,0,3,Giovanni Reyna,16,WOL,1105,1100,NFO,1050,1080,1,2023
0,0,5,0,26.8,1716,0.1,0.1,0.0,0.11,334,1,0,3.8,7.6,2024-04-21 12:30:00+00:00,52,8,0,0,0,0,34,0,899,1,0,2,4.0,1,150,200,50,47,False,0,3,Giovanni Reyna,16,EVE,1125,1065,NFO,1125,1080,1,2023
0,0,3,0,11.3,1716,0.01,0.01,0.0,0.06,347,0,0,1.4,2.2,2024-04-28 15:30:00+00:00,16,13,0,0,0,0,35,0,799,0,2,0,0.0,1,-105,32,137,47,True,0,3,Giovanni Reyna,16,MCI,1360,1370,NFO,1050,1080,1,2023
0,0,0,0,0.0,1716,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2024-05-04 14:00:00+00:00,0,23,0,0,0,0,36,0,787,0,3,1,0.0,0,-25,34,59,47,False,0,3,Giovanni Reyna,16,SHU,1045,1020,NFO,1125,1080,1,2023
0,0,0,0,0.0,1716,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2024-05-11 16:30:00+00:00,0,6,0,0,0,0,37,0,784,0,3,2,0.0,0,-19,42,61,46,True,0,3,Giovanni Reyna,16,CHE,1150,1230,NFO,1050,1080,1,2023
0,0,0,0,0.0,1716,0.0,0.0,0.0,0.0,374,0,0,0.0,0.0,2024-05-19 15:00:00+00:00,0,21,0,0,0,0,38,0,817,0,2,1,0.0,0,19,78,59,46,False,0,3,Giovanni Reyna,16,BUR,1050,1040,NFO,1125,1080,1,2023
