assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,276,0,0,0.0,0.0,2024-03-09 15:00:00+00:00,0,7,0,0,0,0,28,0,0,0,1,1,0.0,0,0,0,0,45,False,0,3,Dominic Dos Santos Martins,22,CRY,1080,1060,LUT,1060,1120,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2024-03-13 19:30:00+00:00,0,3,0,0,0,0,28,0,0,0,3,4,0.0,0,0,0,0,45,False,0,3,Dominic Dos Santos Martins,22,BOU,1055,1145,LUT,1060,1120,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2024-03-16 15:00:00+00:00,0,16,0,0,0,0,29,0,77,0,1,1,0.0,0,27,32,5,45,True,0,3,Dominic Dos Santos Martins,22,NFO,1125,1080,LUT,1020,1090,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,300,0,0,0.0,0.0,2024-03-30 15:00:00+00:00,0,18,0,0,0,0,30,0,50,0,1,2,0.0,0,9,21,12,45,False,0,3,Dominic Dos Santos Martins,22,TOT,1110,1230,LUT,1060,1120,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,301,0,0,0.0,0.0,2024-04-03 18:30:00+00:00,0,1,0,0,0,0,31,0,55,0,0,2,0.0,0,6,17,11,45,False,0,3,Dominic Dos Santos Martins,22,ARS,1370,1330,LUT,1060,1120,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2024-04-06 14:00:00+00:00,0,3,0,0,0,0,32,0,60,0,1,2,0.0,0,1,14,13,45,True,0,3,Dominic Dos Santos Martins,22,BOU,1130,1075,LUT,1020,1090,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,327,0,0,0.0,0.0,2024-04-13 14:00:00+00:00,0,13,0,0,0,0,33,0,104,0,1,5,0.0,0,31,48,17,45,False,0,3,Dominic Dos Santos Martins,22,MCI,1350,1360,LUT,1060,1120,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2024-04-20 14:00:00+00:00,0,4,0,0,0,0,34,0,107,0,5,1,0.0,0,-6,26,32,45,True,0,3,Dominic Dos Santos Martins,22,BRE,1055,1150,LUT,1020,1090,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,350,0,0,0.0,0.0,2024-04-27 14:00:00+00:00,0,20,0,0,0,0,35,0,105,0,1,2,0.0,0,-14,9,23,45,False,0,3,Dominic Dos Santos Martins,22,WOL,1085,1115,LUT,1060,1120,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2024-05-03 19:00:00+00:00,0,8,0,0,0,0,36,0,119,0,1,1,0.0,0,5,15,10,45,True,0,3,Dominic Dos Santos Martins,22,EVE,1125,1080,LUT,1020,1090,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,369,0,0,0.0,0.0,2024-05-11 14:00:00+00:00,0,19,0,0,0,0,37,0,141,0,1,3,0.0,0,6,18,12,45,False,0,3,Dominic Dos Santos Martins,22,WHU,1055,1150,LUT,1060,1120,1,2023
0,0,0,0,0.0,1684,0.0,0.0,0.0,0.0,378,0,0,0.0,0.0,2024-05-19 15:00:00+00:00,0,9,0,0,0,0,38,0,155,0,4,2,0.0,0,10,22,12,45,True,0,3,Dominic Dos Santos Martins,22,FUL,1180,1170,LUT,1020,1090,1,2023
