assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,30077,0,2,0,0.0,0,0,0,0,45,True,0,1,Filip Jørgensen,6,MCI,1350,1390,CHE,1130,1320
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2024-08-25T13:00:00Z,0,20,0,0,0,0,2,0,32295,0,6,2,0.0,0,-2597,1509,4106,45,False,0,1,Filip Jørgensen,6,WOL,1060,1090,CHE,1130,1330
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2024-09-01T12:30:00Z,0,7,0,0,0,0,3,0,29224,0,1,1,0.0,0,-4709,1067,5776,44,True,0,1,Filip Jørgensen,6,CRY,1100,1090,CHE,1130,1320
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2024-09-14T19:00:00Z,0,3,0,0,0,0,4,0,26993,0,1,0,0.0,0,-3179,981,4160,44,False,0,1,Filip Jørgensen,6,BOU,1070,1130,CHE,1130,1330
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,50,0,0,0.0,0.0,2024-09-21T11:30:00Z,0,19,0,0,0,0,5,0,25090,0,3,0,0.0,0,-2206,284,2490,44,False,0,1,Filip Jørgensen,6,WHU,1080,1120,CHE,1130,1330
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,5,0,0,0,0,6,0,23275,0,2,4,0.0,0,-2065,910,2975,43,True,0,1,Filip Jørgensen,6,BHA,1130,1220,CHE,1130,1320
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2024-10-06T13:00:00Z,0,16,0,0,0,0,7,0,22574,0,1,1,0.0,0,-1013,685,1698,43,True,0,1,Filip Jørgensen,6,NFO,1130,1070,CHE,1130,1320
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2024-10-20T15:30:00Z,0,12,0,0,0,0,8,0,22346,0,1,2,0.0,0,-517,692,1209,43,False,0,1,Filip Jørgensen,6,LIV,1360,1340,CHE,1130,1330
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,15,0,0,0,0,9,0,21976,0,1,2,0.0,0,-487,197,684,43,True,0,1,Filip Jørgensen,6,NEW,1130,1310,CHE,1130,1320
0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,21439,0,1,1,0.0,0,-669,146,815,43,False,0,1,Filip Jørgensen,6,MUN,1130,1120,CHE,1130,1330
