assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12,0,7,0,0,0,0,1,0,996,0,1,0,0.0,0,0,0,0,50,True,0,0,0,0,0.0,3,John Fleck,23,CRY,1120,1085,SHU,1045,1020,2023,0.0,,0.422704,2.0,0.422704,2.27616,9.0,2.27616
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18,0,16,0,0,0,0,2,0,798,0,1,2,0.0,0,-231,27,258,50,False,0,0,0,0,0.0,3,John Fleck,23,NFO,1050,1080,SHU,1020,1060,2023,0.0,,0.551038,4.0,0.551038,1.37181,6.0,1.37181
0,0,0,0,0.0,1259,0.0,0.0,0.0455817766487598,0.0,30,0,0,0.0,0.0,2023-08-27,0,13,0,0,0,0,3,0,688,0,2,1,0.0,0,-135,83,218,50,True,0,1,0,0,0.0455817766487598,3,John Fleck,23,MCI,1360,1370,SHU,1045,1020,2023,0.0455817766487598,,0.762232,3.0,0.762232,3.84804,22.0,3.08687
0,0,0,0,0.0,1259,0.0,0.0,0.1044329330325126,0.0,40,0,0,0.0,0.0,2023-09-02,0,8,0,0,0,0,4,0,551,0,2,2,0.0,0,-140,29,169,49,True,0,2,0,0,0.1044329330325126,3,John Fleck,23,EVE,1125,1080,SHU,1045,1020,2023,0.1044329330325126,,1.575,5.0,1.575,2.73871,3.0,2.73871
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2023-09-16,0,18,0,0,0,0,5,0,581,0,1,2,0.0,0,14,109,95,49,False,0,0,0,0,0.0,3,John Fleck,23,TOT,1110,1230,SHU,1020,1060,2023,0.0,,0.790655,4.0,0.790655,2.15909,21.0,2.15909
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2023-09-24,0,15,0,0,0,0,6,0,468,0,8,0,0.0,0,-109,12,121,49,True,0,0,0,0,0.0,3,John Fleck,23,NEW,1210,1355,SHU,1045,1020,2023,0.0,,0.579392,5.0,0.579392,5.1082,11.0,5.1082
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30,0,19,0,0,0,0,7,0,461,0,0,2,0.0,0,-16,12,28,49,False,0,0,0,0,0.0,3,John Fleck,23,WHU,1055,1150,SHU,1020,1060,2023,0.0,,0.911997,5.0,0.911997,3.19753,16.0,3.19753
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07,0,9,0,0,0,0,8,0,471,0,1,3,0.0,0,-2,40,42,49,False,0,0,0,0,0.0,3,John Fleck,23,FUL,1050,1060,SHU,1020,1060,2023,0.0,,0.251809,0.0,0.251809,2.26612,9.0,2.26612
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21,0,14,0,0,0,0,9,0,506,0,2,1,0.0,0,-1,29,30,49,True,0,0,0,0,0.0,3,John Fleck,23,MUN,1210,1230,SHU,1045,1020,2023,0.0,,1.41074,7.0,0.649567,1.46187,7.0,1.46187
0,0,4,0,0.3,1259,0.01,0.01,0.0,1.32,91,2,0,0.0,0.0,2023-10-28,19,1,0,0,0,0,10,0,517,0,0,5,0.0,1,-5,26,31,49,False,0,0,0,0,0.0,3,John Fleck,23,ARS,1370,1330,SHU,1020,1060,2023,0.0,,0.0281554,1.0,0.0281554,3.03496,9.0,2.27379
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2023-11-04,0,20,0,0,0,0,11,0,542,0,1,2,0.0,0,12,35,23,49,True,0,0,0,0,0.0,3,John Fleck,23,WOL,1105,1100,SHU,1045,1020,2023,0.0,,1.10165,3.0,0.340518,1.14803,4.0,1.14803
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2023-11-12,0,5,0,0,0,0,12,0,555,0,1,1,0.0,0,-5,24,29,49,False,0,0,0,0,0.0,3,John Fleck,23,BHA,1070,1135,SHU,1020,1060,2023,0.0,,0.84434,13.0,0.84434,1.08601,4.0,1.08601
0,0,3,0,1.4,1259,0.0,0.0,0.0,0.14,129,0,0,0.2,0.8,2023-11-25,9,3,0,0,0,0,13,0,589,0,3,1,0.0,1,10,32,22,49,True,0,0,0,0,0.0,3,John Fleck,23,BOU,1130,1075,SHU,1045,1020,2023,0.0,,0.816227,7.0,0.816227,3.13975,7.0,3.13975
0,0,0,0,10.8,1259,0.08,0.08,0.0,0.7,134,2,0,1.6,3.4,2023-12-02,45,21,0,0,0,0,14,0,615,1,0,5,2.0,0,16,29,13,49,False,1,0,0,0,0.0,3,John Fleck,23,BUR,1050,1040,SHU,1020,1060,2023,0.0,,0.618131,3.0,0.618131,2.60469,13.0,2.60469
0,0,6,0,13.5,1259,0.26,0.26,0.0,0.99,147,1,0,1.5,1.2,2023-12-06,16,12,0,0,0,0,15,0,612,0,2,0,0.0,1,-6,10,16,49,True,0,0,0,0,0.0,3,John Fleck,23,LIV,1350,1390,SHU,1045,1020,2023,0.0,,0.834172,2.0,0.834172,1.80116,14.0,1.80116
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2023-12-09,0,4,0,0,0,0,16,0,635,0,0,1,0.0,0,9,31,22,49,True,0,0,0,0,0.0,3,John Fleck,23,BRE,1055,1150,SHU,1045,1020,2023,0.0,,0.841976,6.0,0.841976,0.644638,7.0,0.644638
0,0,0,0,0.0,1259,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16,0,6,0,0,0,0,17,0,637,0,0,2,0.0,0,-17,19,36,49,False,0,0,0,0,0.0,3,John Fleck,23,CHE,1080,1170,SHU,1020,1060,2023,0.0,,0.44014,3.0,0.44014,3.27322,13.0,3.27322
