assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_3,opponent_deep_rolling_3,opponent_xGA_rolling_3,opponent_deep_allowed_rolling_3,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_5,opponent_deep_rolling_5,opponent_xGA_rolling_5,opponent_deep_allowed_rolling_5,opponent_xG_rolling_13,opponent_deep_rolling_13,opponent_xGA_rolling_13,opponent_deep_allowed_rolling_13,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,opponent_xG_rolling_20,opponent_deep_rolling_20,opponent_xGA_rolling_20,opponent_deep_allowed_rolling_20,team_xG_rolling_3,team_deep_rolling_3,team_xGA_rolling_3,team_deep_allowed_rolling_3,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_5,team_deep_rolling_5,team_xGA_rolling_5,team_deep_allowed_rolling_5,team_xG_rolling_13,team_deep_rolling_13,team_xGA_rolling_13,team_deep_allowed_rolling_13,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,team_xG_rolling_20,team_deep_rolling_20,team_xGA_rolling_20,team_deep_allowed_rolling_20,season,position
0,0,7,0,2.7,661,0.0,0.03,0.0201330184936523,1.56,292,1,0,1.3,9.6,2024-03-30,71,3,0,0,0,0,30,0,15266,1,1,2,1.0,2,599,1330,731,55,False,0,Jack Harrison,224,1,0,0,0.0201330184936523,8,BOU,1055,1145,EVE,1125,1080,2.735586666666667,9.333333333333334,2.10544,4.0,2.28316225,9.0,2.0281700000000003,6.25,2.2427258,7.8,2.099386,6.8,1.884998,8.923076923076923,1.5326706923076925,8.153846153846153,1.999629,8.75,1.431279125,7.8125,1.87701705,8.3,1.44065935,8.25,1.742935,8.666666666666666,2.2449600000000003,6.666666666666667,1.9186712500000005,8.25,1.86739125,6.25,1.5733514,6.8,1.811855,7.0,1.6978136923076923,5.846153846153846,1.6846409999999996,8.307692307692308,1.7591835625,6.625,1.6213998749999998,7.75,1.569126475,6.1,1.55905425,8.15,2023,MID
0,0,0,0,0.0,661,0.0,0.0,0.0,0.0,310,0,0,0.0,0.0,2024-04-02,0,15,0,0,0,0,31,0,15057,0,1,1,0.0,0,-275,730,1005,55,False,0,Jack Harrison,224,0,0,0,0.0,8,NEW,1050,1160,EVE,1125,1080,2.5708683333333333,10.666666666666666,1.095167666666667,4.0,1.9824945,9.0,1.46971575,7.25,2.0628456,9.0,1.5919686,6.4,2.088781307692308,10.615384615384617,2.128485384615385,8.461538461538462,2.0603366875,10.5,2.215505875,8.5625,1.9433609,9.25,2.02996305,8.25,1.958643333333333,11.0,2.15792,5.666666666666667,1.5406462500000002,9.25,2.03189,6.5,1.721693,8.8,1.7724489999999995,6.2,1.683922153846154,6.461538461538462,1.723653923076923,8.076923076923077,1.6614423125000002,6.6875,1.578858625,7.75,1.6111268500000002,6.4,1.51440425,7.8,2023,MID
0,0,3,0,0.5,661,0.0,0.06,0.0261600874364376,0.0,314,0,0,0.4,1.2,2024-04-06,7,21,0,0,0,0,32,0,14673,0,0,1,2.0,1,-442,912,1354,55,True,0,Jack Harrison,224,1,0,0,0.0261600874364376,8,BUR,1050,1050,EVE,1125,1065,1.97593,10.666666666666666,2.2426233333333334,12.0,1.7022750000000002,10.5,2.1505025,10.75,1.682742,10.2,2.0076340000000004,9.8,1.2341056615384618,5.846153846153846,2.0398882307692308,10.846153846153848,1.1452230375,5.75,2.0678141875,11.375,1.17398933,5.55,1.9411794,10.25,1.4845066666666664,10.0,2.3147900000000003,8.0,1.8935675,9.75,2.2809625,7.0,1.572185,8.6,2.15553,7.4,1.643559846153846,6.384615384615385,1.865088923076923,8.153846153846153,1.72860175,6.625,1.7024214375,8.0625,1.6593532,6.55,1.61597985,8.1,2023,MID
0,0,4,0,2.7,661,0.0,0.02,0.0,1.6,325,2,0,0.5,2.4,2024-04-15,45,6,0,0,0,0,33,0,13688,0,0,6,0.0,1,-1089,221,1310,55,False,0,Jack Harrison,224,0,0,0,0.0,8,CHE,1080,1170,EVE,1125,1080,2.822899666666667,15.0,1.8045766666666667,7.333333333333333,2.56296225,12.25,1.49554125,7.5,2.4808297999999995,11.6,1.691073,6.6,2.034234692307692,10.692307692307692,1.857521923076923,8.384615384615385,2.0596864375,10.4375,1.8588615625,7.6875,2.1558557,9.65,1.84507305,8.2,1.0973213333333331,8.666666666666666,1.4632533333333335,7.666666666666667,1.2783410000000002,9.75,1.82284,7.5,1.6468228,9.6,1.894168,6.8,1.5417132307692307,6.230769230769231,1.7706058461538463,7.846153846153846,1.585221375,6.375,1.6431308125,8.1875,1.66146505,7.0,1.6112049,7.85,2023,MID
0,0,-1,1,2.2,661,0.0,0.02,0.0,0.85,334,0,0,1.4,6.0,2024-04-21,90,16,0,0,0,0,34,0,14331,1,0,2,6.0,2,254,976,722,55,True,1,Jack Harrison,224,0,0,0,0.0,8,NFO,1125,1080,EVE,1125,1065,1.9032833333333328,5.0,1.373233333333333,9.333333333333334,1.6236255000000002,4.5,1.2551679999999998,7.75,1.6894364,4.8,1.1748908,7.4,1.4084263846153844,5.6923076923076925,1.2903602307692308,8.384615384615385,1.4345685625,5.5625,1.381769875,8.9375,1.33842705,5.4,1.42278735,8.9,1.192031333333333,6.666666666666667,2.12267,8.333333333333334,1.1274685000000002,7.75,1.9401725,7.75,1.2662548,8.8,2.132458,7.6,1.5403763076923076,6.384615384615385,1.8542766153846155,7.769230769230769,1.591692625,6.5,1.7984694375,8.125,1.6328405499999998,6.85,1.6851544,7.75,2023,MID
0,0,18,1,53.2,661,0.3094652593135834,0.21,0.0666115283966064,2.06,285,0,0,10.2,33.8,2024-04-24,90,12,0,0,0,0,34,0,14331,1,0,2,15.0,3,254,976,722,55,True,0,Jack Harrison,224,1,5,0,0.0666115283966064,8,LIV,1350,1390,EVE,1125,1065,2.8346633333333338,13.666666666666666,1.260716333333333,6.666666666666667,2.7554275,14.75,1.12577425,5.5,2.8466400000000003,16.6,0.9884634,5.6,2.576060153846154,13.307692307692308,1.1703655384615386,6.230769230769231,2.6767314375,13.375,1.12186225,5.8125,2.53495415,13.6,1.13591265,5.55,0.783662333333333,4.666666666666667,1.6356933333333332,7.0,1.01233175,5.0,1.8892925,8.0,0.9966214,6.2,1.7899699999999998,7.6,1.5368064615384611,6.153846153846154,1.7423066153846152,7.538461538461538,1.4823290624999998,6.0625,1.82207725,7.9375,1.5316202,6.35,1.6409454,7.8,2023,MID
0,0,6,1,2.5,661,0.0,0.39,0.1962879002094268,0.84,343,0,0,2.8,7.0,2024-04-27,90,4,0,0,0,0,35,0,13617,1,0,1,18.0,3,-573,374,947,55,True,0,Jack Harrison,224,4,0,0,0.1962879002094268,8,BRE,1055,1150,EVE,1125,1065,2.0974166666666663,7.0,0.8318756666666668,6.0,1.6788872499999998,7.25,0.92991675,6.5,1.9760838,10.0,0.9418464,6.6,1.5837475384615385,7.076923076923077,1.693427076923077,9.846153846153848,1.58841175,7.1875,1.76309825,10.3125,1.5334789,7.15,1.6976884,10.5,1.194084333333333,3.6666666666666665,2.14388,13.0,1.06052425,5.0,1.6946574999999997,11.25,1.1880874,5.2,1.885744,11.2,1.6025349230769232,6.384615384615385,1.782925846153846,8.461538461538462,1.4765328125,5.75,1.84059475,8.8125,1.59498625,6.3,1.70086865,8.7,2023,MID
0,0,16,0,30.4,661,0.121875062584877,0.49,0.0617639608681201,0.96,358,1,0,7.0,25.6,2024-05-03,90,22,0,0,0,0,36,0,13865,1,1,1,14.0,2,92,661,569,55,False,0,Jack Harrison,224,3,2,0,0.0617639608681201,8,LUT,1020,1090,EVE,1125,1080,0.7373080000000001,4.666666666666667,3.304486666666666,17.333333333333332,0.879176,5.25,2.632392,14.25,0.7617571999999999,4.8,2.3346816,14.2,1.2052763076923076,4.923076923076923,2.580601384615385,11.538461538461538,1.4338443125,5.25,2.403452375,10.375,1.44027455,4.9,2.3648079,10.1,1.1927776666666663,5.333333333333333,1.339022,13.0,1.19906075,5.25,1.846999,11.75,1.0912174,6.0,1.5469971999999996,10.6,1.4779826153846154,6.6923076923076925,1.6738001538461538,8.615384615384615,1.4752015625,6.1875,1.757666375,8.75,1.50798925,6.15,1.68390445,8.9,2023,MID
0,0,0,0,0.0,661,0.0,0.0,0.0,0.0,363,0,0,0.0,0.0,2024-05-11,0,23,0,0,0,0,37,0,14784,0,0,1,0.0,0,710,1502,792,55,True,0,Jack Harrison,224,0,0,0,0.0,8,SHU,1020,1060,EVE,1125,1065,1.8397033333333328,4.666666666666667,2.7953533333333334,12.666666666666666,1.8743175,5.75,2.70236,11.0,1.6663536,5.8,2.38003,9.8,1.3789143076923076,4.384615384615385,2.213502230769231,11.615384615384617,1.4272383125,5.0,2.2093674375,10.5625,1.39016015,4.65,2.1399787000000003,10.35,1.4448966666666665,7.0,1.2594323333333333,11.666666666666666,1.2019807500000002,5.25,1.24186425,10.5,1.2051666,5.2,1.6676774,10.0,1.3218887692307697,6.615384615384615,1.675955538461538,8.307692307692308,1.519573375,6.3125,1.6517676874999998,8.3125,1.51375025,6.25,1.6871484,8.6,2023,MID
0,0,0,0,0.0,661,0.0,0.0,0.0,0.0,371,0,0,0.0,0.0,2024-05-19,0,1,0,0,0,0,38,0,12672,0,1,2,0.0,0,-2047,87,2134,55,False,0,Jack Harrison,224,0,0,0,0.0,8,ARS,1370,1330,EVE,1125,1080,2.386483333333334,16.0,1.208316333333333,5.333333333333333,2.6545075,16.5,1.30709475,5.5,2.455964,17.2,1.078579,4.8,2.2196932307692308,16.615384615384617,0.7499814615384615,4.0,2.31868575,16.875,0.6946558749999999,3.5625,2.29599115,16.25,0.7755439,3.5,1.422563333333333,8.0,0.7907566666666667,5.0,1.5396999999999998,7.5,1.0609549999999996,9.75,1.3264066,6.0,1.0865959999999997,9.2,1.4474301538461538,7.230769230769231,1.5894796153846154,7.846153846153846,1.56879025,6.6875,1.596894125,7.8125,1.49380325,6.35,1.6698528,8.3,2023,MID
