assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,528,101,0,0,0.0,0.0,2021-11-07 14:00:00+00:00,0,18,0,0,0,0,11,0,57,0,1,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,WAT,1040,1070,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,114,0,0,0.0,0.0,2021-11-20 17:30:00+00:00,0,11,0,0,0,0,12,0,57,0,4,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,LIV,1300,1340,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,121,0,0,0.0,0.0,2021-11-27 12:30:00+00:00,0,14,0,0,0,0,13,0,57,0,2,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,NEW,1030,1070,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,134,0,0,0.0,0.0,2021-12-02 20:15:00+00:00,0,13,0,0,0,0,14,0,57,2,3,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,MUN,1170,1190,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,142,0,0,0.0,0.0,2021-12-06 20:00:00+00:00,0,8,0,0,0,0,15,0,57,1,2,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,EVE,1130,1110,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,151,0,0,0.0,0.0,2021-12-11 15:00:00+00:00,0,16,0,0,0,0,16,0,56,0,3,0.0,0,-1,0,1,45,True,0,2,Konstantinos Mavropanos,1,SOU,1140,1090,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,161,0,0,0.0,0.0,2021-12-15 20:00:00+00:00,0,19,0,0,0,0,17,0,56,0,2,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,WHU,1150,1180,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,173,0,0,0.0,0.0,2021-12-18 17:30:00+00:00,0,10,0,0,0,0,18,0,56,4,1,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,LEE,1080,1100,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,187,0,0,0.0,0.0,2021-12-26 15:00:00+00:00,0,15,0,0,0,0,19,0,56,5,0,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,NOR,1040,1040,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,201,0,0,0.0,0.0,2022-01-01 12:30:00+00:00,0,12,0,0,0,0,21,0,56,2,1,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,MCI,1360,1360,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,221,0,0,0.0,0.0,2022-01-23 14:00:00+00:00,0,5,0,0,0,0,23,0,55,0,0,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,BUR,1130,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,236,0,0,0.0,0.0,2022-02-10 19:45:00+00:00,0,20,0,0,0,0,24,0,55,1,0,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,WOL,1150,1080,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,251,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,3,0,0,0,0,26,0,55,1,2,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,BRE,1150,1120,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,191,0,0,0.0,0.0,2022-02-24 19:45:00+00:00,0,20,0,0,0,0,26,0,55,1,2,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,WOL,1160,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,279,0,0,0.0,0.0,2022-03-06 14:00:00+00:00,0,18,0,0,0,0,28,0,55,3,2,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,WAT,1090,1120,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,281,0,0,0.0,0.0,2022-03-13 16:30:00+00:00,0,9,0,0,0,0,29,0,55,0,2,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,LEI,1080,1160,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,261,0,0,0.0,0.0,2022-03-16 20:15:00+00:00,0,11,0,0,0,0,29,0,55,2,0,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,LIV,1350,1350,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,291,0,0,0.0,0.0,2022-03-19 12:30:00+00:00,0,2,0,0,0,0,30,0,55,1,0,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,AVL,1140,1090,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,304,0,0,0.0,0.0,2022-04-04 19:00:00+00:00,0,7,0,0,0,0,31,0,54,0,3,0.0,0,-1,0,1,45,False,0,2,Konstantinos Mavropanos,1,CRY,1110,1080,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,311,0,0,0.0,0.0,2022-04-09 14:00:00+00:00,0,4,0,0,0,0,32,0,54,2,1,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,BHA,1160,1120,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,326,0,0,0.0,0.0,2022-04-16 14:00:00+00:00,0,16,0,0,0,0,33,0,54,0,1,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,SOU,1090,1120,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,243,0,0,0.0,0.0,2022-04-20 18:45:00+00:00,0,6,0,0,0,0,33,0,54,4,2,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,CHE,1300,1250,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,331,0,0,0.0,0.0,2022-04-23 11:30:00+00:00,0,13,0,0,0,0,34,0,54,1,3,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,MUN,1190,1200,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,349,0,0,0.0,0.0,2022-05-01 15:30:00+00:00,0,19,0,0,0,0,35,0,54,2,1,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,WHU,1110,1160,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,351,0,0,0.0,0.0,2022-05-08 13:00:00+00:00,0,10,0,0,0,0,36,0,54,1,2,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,LEE,1070,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,528,218,0,0,0.0,0.0,2022-05-12 18:45:00+00:00,0,17,0,0,0,0,36,0,54,0,3,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,TOT,1190,1210,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,365,0,0,0.0,0.0,2022-05-16 19:00:00+00:00,0,14,0,0,0,0,37,0,54,0,2,0.0,0,0,0,0,45,False,0,2,Konstantinos Mavropanos,1,NEW,1050,1040,ARS,1210,1220,1,2021
0,0,0,0,0.0,528,371,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,8,0,0,0,0,38,0,54,1,5,0.0,0,0,0,0,45,True,0,2,Konstantinos Mavropanos,1,EVE,1090,1110,ARS,1150,1190,1,2021
