assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31 12:30:00+00:00,0,14,0,0,0,0,18,0,1840,0,1,0,0.0,0,-9,0,9,55,True,0,4,Fábio Silva,20,MUN,1220,1220,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-01-04 20:00:00+00:00,0,2,0,0,0,0,19,0,1835,0,1,1,0.0,0,-6,0,6,55,False,0,4,Fábio Silva,20,AVL,1070,1070,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,200,0,0,0.0,0.0,2023-01-14 15:00:00+00:00,0,19,0,0,0,0,20,0,1826,0,0,1,0.0,0,-8,0,8,55,True,0,4,Fábio Silva,20,WHU,1150,1110,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2023-01-22 14:00:00+00:00,0,13,0,0,0,0,21,0,1821,0,0,3,0.0,0,-6,0,6,55,False,0,4,Fábio Silva,20,MCI,1340,1360,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,220,0,0,0.0,0.0,2023-02-04 15:00:00+00:00,0,12,0,0,0,0,22,0,1808,0,0,3,0.0,0,-10,0,10,55,True,0,4,Fábio Silva,20,LIV,1250,1300,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,229,0,0,0.0,0.0,2023-02-11 15:00:00+00:00,0,17,0,0,0,0,23,0,1803,0,2,1,0.0,0,-7,0,7,55,False,0,4,Fábio Silva,20,SOU,1070,1060,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2023-02-18 15:00:00+00:00,0,3,0,0,0,0,24,0,1795,0,1,0,0.0,0,-8,0,8,55,True,0,4,Fábio Silva,20,BOU,1110,1080,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,244,0,0,0.0,0.0,2023-02-24 20:00:00+00:00,0,9,0,0,0,0,25,0,1791,0,1,1,0.0,0,-5,0,5,55,False,0,4,Fábio Silva,20,FUL,1070,1120,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-03-01 20:00:00+00:00,0,12,0,0,0,0,25,0,1791,0,0,2,0.0,0,-5,0,5,55,False,0,4,Fábio Silva,20,LIV,1180,1260,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2023-03-04 15:00:00+00:00,0,18,0,0,0,0,26,0,1788,0,0,1,0.0,0,-3,0,3,55,True,0,4,Fábio Silva,20,TOT,1210,1230,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2023-03-12 16:30:00+00:00,0,15,0,0,0,0,27,0,1784,0,1,2,0.0,0,-4,0,4,55,False,0,4,Fábio Silva,20,NEW,1250,1165,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,280,0,0,0.0,0.0,2023-03-18 15:00:00+00:00,0,11,0,0,0,0,28,0,1782,0,4,2,0.0,0,-1,0,1,55,True,0,4,Fábio Silva,20,LEE,1075,1120,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01 14:00:00+00:00,0,16,0,0,0,0,29,0,1778,0,1,1,0.0,0,-5,0,5,55,False,0,4,Fábio Silva,20,NFO,1065,1030,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,300,0,0,0.0,0.0,2023-04-08 14:00:00+00:00,0,6,0,0,0,0,30,0,1775,0,0,1,0.0,0,-2,0,2,55,True,0,4,Fábio Silva,20,CHE,1220,1220,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,310,0,0,0.0,0.0,2023-04-15 14:00:00+00:00,0,4,0,0,0,0,31,0,1775,0,0,2,0.0,0,-1,0,1,55,True,0,4,Fábio Silva,20,BRE,1160,1200,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,317,0,0,0.0,0.0,2023-04-22 14:00:00+00:00,0,10,0,0,0,0,32,0,1775,0,1,2,0.0,0,0,0,0,55,False,0,4,Fábio Silva,20,LEI,1065,1200,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,327,0,0,0.0,0.0,2023-04-25 18:30:00+00:00,0,7,0,0,0,0,33,0,1774,0,0,2,0.0,0,-1,0,1,55,True,0,4,Fábio Silva,20,CRY,1110,1090,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,334,0,0,0.0,0.0,2023-04-29 14:00:00+00:00,0,5,0,0,0,0,34,0,1774,0,0,6,0.0,0,0,0,0,55,False,0,4,Fábio Silva,20,BHA,1140,1200,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,350,0,0,0.0,0.0,2023-05-06 14:00:00+00:00,0,2,0,0,0,0,35,0,1774,0,0,1,0.0,0,0,0,0,55,True,0,4,Fábio Silva,20,AVL,1075,1130,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2023-05-13 14:00:00+00:00,0,14,0,0,0,0,36,0,1771,0,0,2,0.0,0,-2,0,2,55,False,0,4,Fábio Silva,20,MUN,1140,1165,WOL,1100,1080,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,370,0,0,0.0,0.0,2023-05-20 14:00:00+00:00,0,8,0,0,0,0,37,0,1771,0,1,1,0.0,0,-1,0,1,55,True,0,4,Fábio Silva,20,EVE,1100,1090,WOL,1100,1060,1,2022
0,0,0,0,0.0,488,0.0,0.0,0.0,0.0,371,0,0,0.0,0.0,2023-05-28 15:30:00+00:00,0,1,0,0,0,0,38,0,1768,0,0,5,0.0,0,-3,0,3,55,False,0,4,Fábio Silva,20,ARS,1250,1240,WOL,1100,1080,1,2022
