assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,22,0,0,0,0,14,0,135,0,1,3,0.0,0,-1,0,1,45,True,0,3,Mads Bidstrup,4,LUT,1060,1120,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,5,0,0,0,0,15,0,134,0,1,2,0.0,0,-1,0,1,45,False,0,3,Mads Bidstrup,4,BHA,1070,1135,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,23,0,0,0,0,16,0,133,0,0,1,0.0,0,-1,0,1,45,False,0,3,Mads Bidstrup,4,SHU,1045,1020,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,2,0,0,0,0,17,0,131,0,2,1,0.0,0,-2,0,2,45,True,0,3,Mads Bidstrup,4,AVL,1220,1350,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,183,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,20,0,0,0,0,19,0,129,0,4,1,0.0,0,0,0,0,45,True,0,3,Mads Bidstrup,4,WOL,1105,1100,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,192,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,7,0,0,0,0,20,0,129,0,1,3,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,CRY,1080,1060,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,203,0,0,0.0,0.0,2024-01-20T17:30:00Z,0,16,0,0,0,0,21,0,129,0,2,3,0.0,0,0,0,0,45,True,0,3,Mads Bidstrup,4,NFO,1125,1080,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2024-01-31T19:30:00Z,0,18,0,0,0,0,22,0,129,0,2,3,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,TOT,1110,1230,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2024-02-05T20:00:00Z,0,13,0,0,0,0,23,0,129,0,3,1,0.0,0,0,0,0,45,True,0,3,Mads Bidstrup,4,MCI,1360,1370,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,20,0,0,0,0,24,0,129,0,2,0,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,WOL,1085,1115,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2024-02-17T12:30:00Z,0,12,0,0,0,0,25,0,129,0,4,1,0.0,0,0,0,0,45,True,0,3,Mads Bidstrup,4,LIV,1350,1390,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2024-02-20T19:30:00Z,0,13,0,0,0,0,25,0,129,0,0,1,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,MCI,1350,1360,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,259,0,0,0.0,0.0,2024-02-26T20:00:00Z,0,19,0,0,0,0,26,0,128,0,2,4,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,WHU,1055,1150,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,261,0,0,0.0,0.0,2024-03-02T15:00:00Z,0,6,0,0,0,0,27,0,128,0,2,2,0.0,0,-1,0,1,45,True,0,3,Mads Bidstrup,4,CHE,1150,1230,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,271,0,0,0.0,0.0,2024-03-09T17:30:00Z,0,1,0,0,0,0,28,0,128,0,1,2,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,ARS,1370,1330,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2024-03-16T15:00:00Z,0,21,0,0,0,0,29,0,128,0,1,2,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,BUR,1050,1040,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,293,0,0,0.0,0.0,2024-03-30T20:00:00Z,0,14,0,0,0,0,30,0,128,0,1,1,0.0,0,0,0,0,45,True,0,3,Mads Bidstrup,4,MUN,1210,1230,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,303,0,0,0.0,0.0,2024-04-03T18:30:00Z,0,5,0,0,0,0,31,0,127,0,0,0,0.0,0,-1,0,1,45,True,0,3,Mads Bidstrup,4,BHA,1180,1240,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2024-04-06T14:00:00Z,0,2,0,0,0,0,32,0,127,0,3,3,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,AVL,1140,1180,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,323,0,0,0.0,0.0,2024-04-13T14:00:00Z,0,23,0,0,0,0,33,0,127,0,0,2,0.0,0,0,0,0,45,True,0,3,Mads Bidstrup,4,SHU,1020,1060,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2024-04-20T14:00:00Z,0,22,0,0,0,0,34,0,127,0,5,1,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,LUT,1020,1090,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,343,0,0,0.0,0.0,2024-04-27T16:30:00Z,0,8,0,0,0,0,35,0,126,0,0,1,0.0,0,-1,0,1,45,False,0,3,Mads Bidstrup,4,EVE,1125,1065,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,352,0,0,0.0,0.0,2024-05-04T14:00:00Z,0,9,0,0,0,0,36,0,124,0,0,0,0.0,0,-2,0,2,45,True,0,3,Mads Bidstrup,4,FUL,1180,1170,BRE,1110,1090,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,362,0,0,0.0,0.0,2024-05-11T14:00:00Z,0,3,0,0,0,0,37,0,124,0,2,1,0.0,0,0,0,0,45,False,0,3,Mads Bidstrup,4,BOU,1055,1145,BRE,1055,1150,2023,
0,0,0,0,0.0,753,0.0,0.0,0.0,0.0,372,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,15,0,0,0,0,38,0,124,0,4,2,0.0,0,0,0,0,45,True,0,3,Mads Bidstrup,4,NEW,1210,1355,BRE,1110,1090,2023,
