assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19 19:00:00+00:00,0,18,0,0,0,0,1,0,0,0,1,1,0.0,0,0,0,0,40,True,0,2,Ben Nelson,11,TOT,1170,1350,LEI,1060,1090,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2024-08-24 14:00:00+00:00,0,9,0,0,0,0,2,0,2240,0,1,2,0.0,0,604,693,89,40,False,0,2,Ben Nelson,11,FUL,1100,1100,LEI,1120,1080,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2024-08-31 14:00:00+00:00,0,2,0,0,0,0,3,0,4919,0,2,1,0.0,0,791,1515,724,40,True,0,2,Ben Nelson,11,AVL,1140,1300,LEI,1060,1090,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2024-09-14 14:00:00+00:00,0,7,0,0,0,0,4,0,3288,0,2,2,0.0,0,-1504,0,1504,40,False,0,2,Ben Nelson,11,CRY,1100,1090,LEI,1120,1080,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2024-09-21 14:00:00+00:00,0,8,0,0,0,0,5,0,3070,0,1,1,0.0,0,-275,0,275,40,True,0,2,Ben Nelson,11,EVE,1100,1100,LEI,1060,1090,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28 14:00:00+00:00,0,1,0,0,0,0,6,0,2852,0,2,4,0.0,0,-225,0,225,40,False,0,2,Ben Nelson,11,ARS,1360,1340,LEI,1120,1080,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2024-10-05 14:00:00+00:00,0,3,0,0,0,0,7,0,2696,0,0,1,0.0,0,-162,0,162,40,True,0,2,Ben Nelson,11,BOU,1130,1160,LEI,1060,1090,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2024-10-19 14:00:00+00:00,0,17,0,0,0,0,8,0,2592,0,3,2,0.0,0,-107,0,107,40,False,0,2,Ben Nelson,11,SOU,1060,1060,LEI,1120,1080,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2024-10-25 19:00:00+00:00,0,16,0,0,0,0,9,0,2534,0,3,1,0.0,0,-60,0,60,40,True,0,2,Ben Nelson,11,NFO,1130,1070,LEI,1060,1090,1,2024
0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2024-11-02 15:00:00+00:00,0,10,0,0,0,0,10,0,2444,0,1,1,0.0,0,-89,0,89,40,False,0,2,Ben Nelson,11,IPS,1070,1050,LEI,1120,1080,1,2024
