assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,1,21,0,12.3,1715,116,2,1,7.3,41.8,2020-12-12 15:00:00+00:00,90,14,0,0,0,0,12,0,15020,1,2,19.0,7,-1639,1184,2823,45,False,1,2,Darnell Furlong,18,NEW,1050,1030,WBA,1000,1040,0,2020
0,0,7,0,0.1,1715,128,1,0,0.9,4.4,2020-12-15 20:00:00+00:00,90,12,0,0,0,0,13,0,18699,1,1,4.0,2,3002,4557,1555,45,False,0,2,Darnell Furlong,18,MCI,1280,1340,WBA,1000,1040,0,2020
0,0,8,0,0.9,1715,138,3,0,1.1,10.4,2020-12-20 19:15:00+00:00,90,2,0,0,0,0,14,0,22930,3,0,0.0,1,4005,5831,1826,45,True,0,2,Darnell Furlong,18,AVL,1140,1100,WBA,1040,1050,0,2020
0,0,13,0,14.8,1715,144,1,0,4.1,26.0,2020-12-27 16:30:00+00:00,90,11,0,0,0,0,15,0,22195,1,1,0.0,2,-789,2178,2967,45,False,0,2,Darnell Furlong,18,LIV,1190,1300,WBA,1000,1040,0,2020
0,0,8,0,0.8,1715,158,5,0,1.9,12.6,2020-12-29 18:00:00+00:00,90,10,0,0,0,0,16,0,25832,5,0,6.0,0,3303,4855,1552,45,True,0,2,Darnell Furlong,18,LEE,1150,1170,WBA,1040,1050,0,2020
0,0,10,0,1.8,1715,168,4,0,1.3,7.0,2021-01-02 20:00:00+00:00,90,1,0,0,0,0,17,0,25211,4,0,4.0,0,-618,3089,3707,45,True,0,2,Darnell Furlong,18,ARS,1150,1210,WBA,1040,1050,0,2020
0,0,3,0,0.0,1715,188,0,0,0.0,0.0,2021-01-16 12:30:00+00:00,8,20,0,0,0,0,19,0,25648,3,2,0.0,1,1832,4651,2819,45,False,0,2,Darnell Furlong,18,WOL,1120,1040,WBA,1000,1040,0,2020
0,0,4,0,4.0,1715,175,0,0,1.5,5.4,2021-01-19 18:00:00+00:00,20,19,0,0,0,0,19,0,25648,1,2,6.0,1,1832,4651,2819,45,False,0,2,Darnell Furlong,18,WHU,1140,1260,WBA,1000,1040,0,2020
0,0,9,0,0.9,1715,193,5,0,2.0,11.8,2021-01-26 20:15:00+00:00,90,12,0,0,0,0,20,0,21568,5,0,7.0,0,-2797,933,3730,45,True,0,2,Darnell Furlong,18,MCI,1320,1350,WBA,1040,1050,0,2020
0,0,5,0,0.6,1715,207,2,0,0.5,0.6,2021-01-30 15:00:00+00:00,90,8,0,0,0,0,21,0,21957,2,2,4.0,1,182,2646,2464,45,True,0,2,Darnell Furlong,18,FUL,1110,1060,WBA,1040,1050,0,2020
0,0,0,0,0.0,1715,214,0,0,0.0,0.0,2021-02-02 18:00:00+00:00,0,15,0,0,0,0,22,0,21804,1,2,0.0,0,-316,2149,2465,45,False,0,2,Darnell Furlong,18,SHU,1020,1000,WBA,1000,1040,0,2020
0,0,0,0,0.0,1715,227,0,0,0.0,0.0,2021-02-07 12:00:00+00:00,0,17,0,0,0,0,23,0,18189,0,2,0.0,0,-3639,158,3797,45,False,0,2,Darnell Furlong,18,TOT,1130,1250,WBA,1000,1040,0,2020
0,0,10,0,14.2,1715,237,0,0,2.9,14.6,2021-02-14 14:00:00+00:00,45,13,0,0,0,0,24,0,16158,1,1,0.0,1,-2026,158,2184,45,True,0,2,Darnell Furlong,18,MUN,1280,1310,WBA,1040,1050,0,2020
0,0,20,1,0.1,1715,242,0,0,0.8,7.2,2021-02-20 15:00:00+00:00,90,4,0,0,0,0,25,0,15841,0,0,1.0,6,-506,568,1074,45,False,0,2,Darnell Furlong,18,BUR,1040,1040,WBA,1000,1040,0,2020
0,0,21,1,18.5,1715,258,0,0,3.0,7.0,2021-02-27 15:00:00+00:00,90,3,0,0,0,0,26,0,19396,0,1,4.0,6,3061,4619,1558,45,True,0,2,Darnell Furlong,18,BHA,1190,1130,WBA,1040,1050,0,2020
0,0,6,0,12.8,1715,287,1,0,2.8,15.0,2021-03-04 18:00:00+00:00,90,7,0,0,0,0,26,0,19396,1,0,0.0,1,3061,4619,1558,45,True,1,2,Darnell Furlong,18,EVE,1100,1140,WBA,1040,1050,0,2020
0,0,16,1,1.8,1715,267,0,0,1.5,13.4,2021-03-07 12:00:00+00:00,90,14,0,0,0,0,27,0,18926,0,0,0.0,6,-405,1524,1929,45,True,0,2,Darnell Furlong,18,NEW,1060,1110,WBA,1040,1050,0,2020
0,0,2,0,1.6,1715,270,1,0,0.7,5.4,2021-03-13 15:00:00+00:00,90,6,0,0,0,0,28,0,18655,0,1,0.0,1,-407,944,1351,45,False,1,2,Darnell Furlong,18,CRY,1030,1010,WBA,1000,1040,0,2020
1,0,21,0,14.5,1715,291,2,0,4.9,30.8,2021-04-03 11:30:00+00:00,90,5,0,0,0,0,30,0,16609,5,2,4.0,4,-54,661,715,45,False,0,2,Darnell Furlong,18,CHE,1260,1250,WBA,1000,1040,0,2020
0,0,21,1,0.7,1715,307,0,0,3.7,8.4,2021-04-12 17:00:00+00:00,90,16,0,0,0,0,31,0,17790,0,3,28.0,6,1083,1932,849,45,True,0,2,Darnell Furlong,18,SOU,1110,1160,WBA,1040,1050,0,2020
0,0,8,0,0.5,1715,314,3,0,1.0,7.6,2021-04-22 19:00:00+00:00,90,9,0,0,0,0,32,0,19243,0,3,2.0,1,1318,2295,977,45,False,0,2,Darnell Furlong,18,LEI,1190,1150,WBA,1000,1040,0,2020
0,0,11,0,0.3,1715,320,2,0,2.1,17.0,2021-04-25 18:00:00+00:00,90,2,0,0,0,0,33,0,20024,2,2,4.0,1,698,1551,853,45,False,0,2,Darnell Furlong,18,AVL,1120,1080,WBA,1000,1040,0,2020
0,0,2,0,5.1,1715,338,1,0,2.1,7.2,2021-05-03 17:00:00+00:00,90,20,0,0,0,0,34,0,20437,1,1,9.0,1,364,1155,791,45,True,1,2,Darnell Furlong,18,WOL,1130,1120,WBA,1040,1050,0,2020
0,0,7,0,1.9,1715,339,3,0,2.5,9.6,2021-05-09 18:00:00+00:00,90,1,0,0,0,0,35,0,18825,1,3,13.0,1,-1543,337,1880,45,False,0,2,Darnell Furlong,18,ARS,1130,1220,WBA,1000,1040,0,2020
0,0,13,0,25.3,1715,353,2,0,5.6,22.2,2021-05-16 15:30:00+00:00,90,11,0,0,0,0,36,0,18388,2,1,8.0,1,-524,220,744,45,True,0,2,Darnell Furlong,18,LIV,1210,1230,WBA,1040,1050,0,2020
0,0,7,0,11.3,1715,368,3,0,1.8,6.2,2021-05-19 19:15:00+00:00,90,19,0,0,0,0,37,0,18246,3,1,0.0,1,-198,341,539,45,True,0,2,Darnell Furlong,18,WHU,1190,1290,WBA,1040,1050,0,2020
0,0,1,0,0.8,1715,372,3,0,5.0,13.4,2021-05-23 15:00:00+00:00,90,10,0,0,0,0,38,0,17779,1,3,36.0,1,-456,305,761,45,False,0,2,Darnell Furlong,18,LEE,1060,1210,WBA,1000,1040,0,2020
