assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2024-02-01T20:15:00Z,0,14,0,0,0,0,22,0,0,0,4,3,0.0,0,0,0,0,50,True,0,3,Noha Lemina,20,MUN,1210,1230,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,226,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,6,0,0,0,0,23,0,102,0,4,2,0.0,0,76,90,14,50,False,0,3,Noha Lemina,20,CHE,1080,1170,WOL,1105,1100,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,4,0,0,0,0,24,0,319,0,2,0,0.0,0,164,226,62,50,True,0,3,Noha Lemina,20,BRE,1055,1150,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,18,0,0,0,0,25,0,444,0,2,1,0.0,0,43,151,108,50,False,0,3,Noha Lemina,20,TOT,1110,1230,WOL,1105,1100,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2024-02-25T13:30:00Z,0,23,0,0,0,0,26,0,645,0,0,1,0.0,0,120,263,143,50,True,0,3,Noha Lemina,20,SHU,1020,1060,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,267,0,0,0.0,0.0,2024-03-02T15:00:00Z,0,15,0,0,0,0,27,0,661,0,0,3,0.0,0,35,188,153,50,False,0,3,Noha Lemina,20,NEW,1050,1160,WOL,1105,1100,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,280,0,0,0.0,0.0,2024-03-09T15:00:00Z,0,9,0,0,0,0,28,0,738,0,1,2,0.0,0,8,167,159,50,True,0,3,Noha Lemina,20,FUL,1180,1170,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2024-03-30T17:30:00Z,0,2,0,0,0,0,30,0,818,0,0,2,0.0,0,46,125,79,50,False,0,3,Noha Lemina,20,AVL,1140,1180,WOL,1105,1100,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,304,0,0,0.0,0.0,2024-04-02T18:45:00Z,0,21,0,0,0,0,31,0,979,0,1,1,0.0,0,136,251,115,50,False,0,3,Noha Lemina,20,BUR,1050,1040,WOL,1105,1100,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2024-04-06T14:00:00Z,0,19,0,0,0,0,32,0,915,0,2,1,0.0,0,-88,97,185,50,True,0,3,Noha Lemina,20,WHU,1140,1150,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,329,0,0,0.0,0.0,2024-04-13T14:00:00Z,0,16,0,0,0,0,33,0,959,0,2,2,0.0,0,7,133,126,50,False,0,3,Noha Lemina,20,NFO,1050,1080,WOL,1105,1100,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,340,0,0,0.0,0.0,2024-04-20T18:30:00Z,0,1,0,0,0,0,34,0,1142,0,2,0,0.0,0,110,260,150,50,True,0,3,Noha Lemina,20,ARS,1370,1360,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,290,0,0,0.0,0.0,2024-04-24T18:45:00Z,0,3,0,0,0,0,34,0,1142,0,1,0,0.0,0,110,260,150,50,True,0,3,Noha Lemina,20,BOU,1130,1075,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,350,0,0,0.0,0.0,2024-04-27T14:00:00Z,0,22,0,0,0,0,35,0,1008,0,1,2,0.0,0,-119,58,177,50,True,0,3,Noha Lemina,20,LUT,1060,1120,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2024-05-04T16:30:00Z,0,13,0,0,0,0,36,0,979,0,1,5,0.0,0,-56,32,88,50,False,0,3,Noha Lemina,20,MCI,1350,1360,WOL,1105,1100,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,370,0,0,0.0,0.0,2024-05-11T14:00:00Z,0,7,0,0,0,0,37,0,991,0,3,1,0.0,0,-25,67,92,50,True,0,3,Noha Lemina,20,CRY,1120,1085,WOL,1085,1115,2023
0,0,0,0,0.0,1290,0.0,0.0,0.0,0.0,377,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,12,0,0,0,0,38,0,1036,0,0,2,0.0,0,6,52,46,50,False,0,3,Noha Lemina,20,LIV,1210,1270,WOL,1105,1100,2023
