assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2022-08-07,0,19,0,0,0,0,1,0,62453,0,2,0,0.0,0,0,0,0,60,False,0,0,0,0,0.0,2,Aymeric Laporte,13,WHU,1145,1060,MCI,1340,1380,2022,0.0,,2.58739,11.0,1.82623,0.246188,2.0,0.246188
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2022-08-13,0,3,0,0,0,0,2,0,43752,0,0,4,0.0,0,-18920,279,19199,60,True,0,0,0,0,0.0,2,Aymeric Laporte,13,BOU,1110,1080,MCI,1340,1360,2022,0.0,,1.69064,11.0,1.69064,0.123946,0.0,0.123946
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2022-08-21,0,15,0,0,0,0,3,0,35680,0,3,3,0.0,0,-9107,291,9398,59,False,0,0,0,0,0.0,2,Aymeric Laporte,13,NEW,1250,1165,MCI,1340,1380,2022,0.0,,3.67382,9.0,3.67382,2.2127,9.0,2.2127
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2022-08-27,0,7,0,0,0,0,4,0,31997,0,2,4,0.0,0,-4453,270,4723,59,True,0,0,0,0,0.0,2,Aymeric Laporte,13,CRY,1110,1090,MCI,1340,1360,2022,0.0,,2.3853,18.0,2.3853,0.091976,1.0,0.091976
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2022-08-31,0,16,0,0,0,0,5,0,29355,0,0,6,0.0,0,-3030,132,3162,59,True,0,0,0,0,0.0,2,Aymeric Laporte,13,NFO,1100,1105,MCI,1340,1360,2022,0.0,,3.83759,13.0,3.83759,0.729752,1.0,0.729752
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2022-09-03,0,2,0,0,0,0,6,0,27186,0,1,1,0.0,0,-2488,168,2656,59,False,0,0,0,0,0.0,2,Aymeric Laporte,13,AVL,1070,1070,MCI,1340,1380,2022,0.0,,1.92143,12.0,1.92143,0.279392,2.0,0.279392
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,80,0,0,0.0,0.0,2022-09-17,0,20,0,0,0,0,8,0,25825,0,3,0,0.0,0,-345,220,565,58,False,0,0,0,0,0.0,2,Aymeric Laporte,13,WOL,1100,1060,MCI,1340,1380,2022,0.0,,1.4242,8.0,1.4242,0.310995,4.0,0.310995
0,0,2,0,0.1,933,0.0,0.06,0.0298717003315687,1.48,88,2,0,0.4,0.0,2022-10-02,15,14,0,0,0,0,9,0,25342,0,3,6,4.0,0,-681,237,918,58,True,0,1,0,0,0.0298717003315687,2,Aymeric Laporte,13,MUN,1220,1220,MCI,1340,1360,2022,0.0298717003315687,,3.01103,17.0,3.01103,1.71335,5.0,0.952176
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08,0,17,0,0,0,0,10,0,28537,0,0,4,0.0,0,2084,2982,898,58,True,0,0,0,0,0.0,2,Aymeric Laporte,13,SOU,1070,1080,MCI,1340,1360,2022,0.0,,2.73536,12.0,2.73536,0.101148,0.0,0.101148
0,0,0,0,0.0,933,0.0,0.0,0.0,0.0,106,0,0,0.0,0.0,2022-10-16,0,12,0,0,0,0,11,0,29421,0,0,1,0.0,0,-16,1602,1618,58,False,0,0,0,0,0.0,2,Aymeric Laporte,13,LIV,1180,1260,MCI,1340,1380,2022,0.0,,0.911493,17.0,0.911493,1.9992,6.0,1.9992
