assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position,modified
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,207,0,0,0.0,0.0,2023-01-21T12:30:00Z,0,12,0,0,0,0,21,0,59,0,0,0,0.0,0,42,56,14,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,LIV,1180,1260,CHE,1220,1220,1.5989015,6.75,1.06339275,6.25,1.291639625,6.75,1.3889903125,5.3125,2.2311775000000003,9.5,1.7636455,5.25,2.1205006875000003,10.75,1.7023595,7.0,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,214,0,0,0.0,0.0,2023-02-03T20:00:00Z,0,9,0,0,0,0,22,0,198,0,0,0,0.0,0,90,141,51,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,FUL,1065,1140,CHE,1190,1140,1.7168065,7.0,1.1424005000000002,5.5,1.297609,7.0,1.3478040625,5.125,1.0323645,4.0,1.7019212499999998,8.25,1.4113391875,5.3125,1.9622354375,7.0,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,230,0,0,0.0,0.0,2023-02-11T12:30:00Z,0,19,0,0,0,0,23,0,234,0,1,1,0.0,0,15,60,45,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,WHU,1145,1060,CHE,1220,1220,1.94709,7.0,0.8358057500000001,4.25,1.291984625,6.875,1.288584125,5.25,1.4436637499999998,4.25,0.894897,5.5,1.41103475,4.25,1.0687005625,6.1875,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,17,0,0,0,0,24,0,266,0,1,0,0.0,0,7,63,56,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,SOU,1070,1080,CHE,1190,1140,1.57242875,7.75,0.92702675,5.25,1.304055375,7.25,1.2671185,5.5625,0.92574475,6.0,1.3323377499999998,6.5,0.990481375,5.4375,1.5248314375,7.0625,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2023-02-26T13:30:00Z,0,18,0,0,0,0,25,0,362,0,0,2,0.0,0,18,75,57,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,TOT,1140,1170,CHE,1220,1220,1.44426875,8.25,0.8725682500000002,5.25,1.326691,7.1875,1.261472375,5.625,1.24074875,5.5,0.9110975,5.25,1.439901375,6.6875,1.290942625,7.125,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,255,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,24,0,0,0,0,26,0,303,0,0,1,0.0,0,-12,30,42,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,LEE,1075,1120,CHE,1190,1140,1.0486715,7.75,0.7788340000000001,4.75,1.1911510625,6.8125,1.272588875,5.6875,0.94096975,6.25,1.3082645000000004,6.25,1.3024728125,6.1875,1.601469,6.1875,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,266,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,11,0,0,0,0,27,0,281,0,3,1,0.0,0,-31,20,51,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,LEI,1065,1200,CHE,1220,1220,1.161944,8.5,0.8139975000000002,4.5,1.2306116875,7.0,1.1593748125,5.5625,1.1249290749999998,6.75,1.85727475,6.75,1.1857378937499998,5.625,1.4816353125,7.75,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,275,0,0,0.0,0.0,2023-03-18T17:30:00Z,0,8,0,0,0,0,28,0,254,0,2,2,0.0,0,-25,0,25,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,EVE,1100,1090,CHE,1190,1140,1.31052275,7.5,1.1353075,4.5,1.289197625,6.5,1.2161941875000002,5.5,1.6424625000000002,6.5,1.97004325,7.5,1.23810655625,5.25,1.7581728124999998,7.625,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,284,0,0,0.0,0.0,2023-04-01T16:30:00Z,0,2,0,0,0,0,29,0,236,0,2,0,0.0,0,-20,0,20,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,AVL,1075,1130,CHE,1190,1140,1.38128275,7.0,1.392112,4.0,1.33281575,6.875,1.273432625,5.0625,2.09927625,9.75,1.0850827499999998,4.25,1.4199045,6.9375,1.743192875,6.1875,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-04-04T19:00:00Z,0,12,0,0,0,0,29,0,236,0,0,0,0.0,0,-20,0,20,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,LIV,1250,1300,CHE,1190,1140,1.9107725,10.5,1.35198225,3.25,1.4143595,7.5625,1.1412322499999998,4.875,2.14935525,10.0,1.4345154999999998,6.5,1.9995931875,9.3125,1.5796794375,5.4375,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,300,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,20,0,0,0,0,30,0,219,0,0,1,0.0,0,-17,0,17,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,WOL,1100,1060,CHE,1220,1220,1.99108,11.5,1.2440377500000002,4.25,1.5337479374999998,8.0,1.0052170625,5.1875,1.10492275,5.5,1.620115,6.75,1.005329125,4.6875,1.673416125,8.0,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,5,0,0,0,0,31,0,214,0,2,1,0.0,0,-5,0,5,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,BHA,1150,1200,CHE,1190,1140,1.821212,13.5,0.8039785000000002,3.5,1.562260625,8.75,0.957782875,4.9375,2.12940925,9.75,1.06016975,6.25,2.073214625,10.25,1.1462620625,4.5625,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,328,0,0,0.0,0.0,2023-04-26T18:45:00Z,0,4,0,0,0,0,33,0,207,0,2,0,0.0,0,-2,0,2,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,BRE,1160,1200,CHE,1190,1140,1.4619719999999998,12.75,1.0225585,6.0,1.47160625,8.6875,1.087657875,5.375,1.56378,4.5,1.1932525,7.0,1.519153875,6.3125,1.2991450625,7.1875,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,331,0,0,0.0,0.0,2023-05-02T19:00:00Z,0,1,0,0,0,0,34,0,204,0,1,3,0.0,0,-3,0,3,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,ARS,1250,1240,CHE,1220,1220,1.169722,10.5,1.004946,6.25,1.4614931249999998,8.9375,1.0695406875,4.9375,1.762148,10.0,2.510845,8.75,2.0213170625,13.1875,1.51951770625,6.125,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,341,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,3,0,0,0,0,35,0,201,0,3,1,0.0,0,-3,0,3,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,BOU,1020,1050,CHE,1220,1220,0.818765,9.5,1.65019175,7.5,1.47971975,9.125,1.1360081875,5.125,1.42161275,6.5,1.660801,7.5,1.375870125,5.3125,1.8459295625,10.5,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,16,0,0,0,0,36,0,199,0,2,2,0.0,0,-1,0,1,45,True,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,NFO,1100,1105,CHE,1190,1140,1.057068,9.25,1.804291,9.0,1.440307875,9.5,1.1676509375000002,5.5625,1.50401975,6.25,2.57241,10.75,1.0039049375,4.375,2.1437618125,10.875,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,365,0,0,0.0,0.0,2023-05-21T15:00:00Z,0,13,0,0,0,0,37,0,194,0,0,1,0.0,0,-5,0,5,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,MCI,1340,1360,CHE,1220,1220,1.1910357500000002,10.25,1.666016,6.75,1.3696398125,9.5625,1.2383136874999998,5.5,2.30014,12.25,0.5626955,1.25,2.3708023125,10.5,0.75079175,3.375,2022,MID,
0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2023-05-25T19:00:00Z,0,14,0,0,0,0,37,0,194,0,1,4,0.0,0,-5,0,5,45,False,0,Andrey Nascimento dos Santos,150,0,0,0,0.0,6,MUN,1140,1165,CHE,1220,1220,1.1773457500000002,9.5,1.7935725,9.0,1.3266279375,9.5625,1.2323336875,5.8125,1.833565,12.25,1.2375555,5.5,1.948504375,10.9375,1.4738913125,5.5,2022,MID,
