assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,season,position,modified
1,0,13,0,20.5,705,0.0910184010863304,0.33,0.3780040144920349,1.77,202,1,0,8.9,32.8,2023-01-21,90,16,0,0,0,0,21,0,232,1,1,1,36.0,5,219,231,12,50,True,0,Dango Ouattara,74,5,1,0,0.3780040144920349,3,NFO,1100,1105,BOU,1020,1050,1.10966625,5.5,1.2356302500000005,8.75,1.052627,4.5,1.6426474375,9.0625,0.5717985,4.0,1.9846,7.75,0.9180203125,5.4375,1.841061,9.375,2022,MID,
0,0,1,0,1.1,705,0.0,0.57,0.2684150040149688,2.61,213,1,0,4.7,6.6,2023-02-04,90,5,0,0,0,0,22,0,1390,1,0,1,39.0,2,1022,1212,190,50,False,0,Dango Ouattara,74,4,0,0,0.2684150040149688,3,BHA,1140,1200,BOU,1110,1080,2.0023675,9.5,1.75949,4.75,1.79676075,9.625,1.402470875,6.125,0.9124035,5.5,1.900015,7.25,1.0195515,5.8125,1.635754125,8.5625,2022,MID,
1,2,29,0,39.3,705,1.1212400197982788,0.34,0.1090340018272399,1.16,222,1,0,7.6,32.4,2023-02-11,78,15,0,0,0,0,23,0,1441,1,1,1,4.0,7,23,262,239,50,True,0,Dango Ouattara,74,1,3,0,0.1090340018272399,3,NEW,1300,1220,BOU,1020,1050,1.3986882500000002,9.0,0.89299325,4.75,1.9837683125,9.875,0.84001948125,4.6875,0.91552325,4.0,2.101095,9.0,1.0536929375,5.5,1.699785375,8.625,2022,MID,
0,0,3,0,4.8,705,0.0,0.12,0.0,0.93,240,0,0,1.5,4.0,2023-02-18,57,20,0,0,0,0,24,0,2332,1,1,0,6.0,1,807,945,138,50,False,0,Dango Ouattara,74,0,0,0,0.0,3,WOL,1100,1060,BOU,1110,1080,1.13111,4.0,1.66665875,9.25,0.9289160625,4.75,1.57539375,7.8125,1.13191275,4.5,1.74477,7.25,1.093664125,5.125,1.713509125,8.625,2022,MID,
0,0,-1,0,13.4,705,0.0311354007571935,0.05,0.0766552984714508,2.38,241,4,0,2.7,4.2,2023-02-25,90,13,0,0,0,0,25,0,2457,1,4,1,9.0,1,37,443,406,50,True,1,Dango Ouattara,74,1,1,0,0.0766552984714508,3,MCI,1340,1380,BOU,1020,1050,2.30042175,8.75,1.1314419999999998,4.25,2.1290498125,12.1875,1.04826393125,4.5,1.352777,5.0,1.6480862500000002,9.25,1.104651125,5.0625,1.6737488125,8.1875,2022,MID,
0,0,5,0,0.6,705,0.0,0.6,0.6177520155906677,2.28,251,2,0,2.6,8.8,2023-03-04,81,1,0,0,0,0,26,0,2274,1,2,3,17.0,2,-155,236,391,50,False,0,Dango Ouattara,74,1,0,0,0.6177520155906677,3,ARS,1250,1240,BOU,1110,1080,2.08811225,11.5,0.9921270750000002,4.0,1.9688184375,10.8125,1.06270570625,5.25,1.172722,3.5,1.99974125,11.75,1.1250975,4.9375,1.7947525625,8.5625,2022,MID,
1,0,20,1,18.3,705,0.3601100146770477,0.48,0.5635610222816467,1.75,261,0,0,6.3,37.0,2023-03-11,90,12,0,0,0,0,27,0,2329,1,0,1,8.0,6,8,422,414,50,True,0,Dango Ouattara,74,1,1,0,0.5635610222816467,3,LIV,1250,1300,BOU,1020,1050,2.41533,9.25,1.0904895,3.25,2.123678125,9.6875,1.6343300625,4.875,1.381315,3.75,1.97619875,15.75,1.1622075,4.6875,1.8748488125,10.0,2022,MID,
0,0,12,0,8.3,705,0.0,0.33,0.1195840016007423,3.18,272,3,0,7.0,15.6,2023-03-18,90,2,0,0,0,0,28,0,8934,1,0,3,46.0,2,4484,5086,602,50,False,0,Dango Ouattara,74,2,0,0,0.1195840016007423,3,AVL,1070,1070,BOU,1110,1080,1.31952925,6.25,1.67500025,6.5,1.2484511875,6.0625,1.892684125,6.375,1.27049,3.0,2.1227287500000003,17.25,1.129269375,4.5,1.9071781875,10.25,2022,MID,
0,0,3,0,0.6,705,0.0,0.08,0.0836656019091606,0.58,282,1,0,0.6,0.0,2023-04-01,45,9,0,0,0,0,29,0,6957,1,1,2,6.0,1,-29,1529,1558,50,True,0,Dango Ouattara,74,1,0,0,0.0836656019091606,3,FUL,1065,1140,BOU,1020,1050,0.8577442499999999,3.5,2.19949425,10.75,1.29554375,5.0625,1.7345700625,7.375,1.10734,3.25,2.75856,18.5,1.109874875,4.3125,2.0456756875,10.875,2022,MID,
0,0,5,0,46.7,705,0.12568399310112,0.14,0.019981499761343,1.82,62,1,0,7.8,18.8,2023-04-04,84,5,0,0,0,0,29,0,6957,1,2,0,12.0,2,-29,1529,1558,50,True,0,Dango Ouattara,74,1,4,0,0.019981499761343,3,BHA,1150,1200,BOU,1020,1050,2.35550925,8.75,0.8350257500000001,5.75,2.029478375,9.4375,1.22067275,5.0625,1.6211575,4.75,2.16330725,16.25,1.2605059375,4.6875,1.959669375,10.8125,2022,MID,
