assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position,modified
0,0,5,1,5.0,142,0.0,0.15,0.0873252004384994,0.67,3,0,0,3.7,8.6,2022-08-06,64,8,0,0,0,0,1,0,808300,1,1,0,23.0,3,0,0,0,80,False,0,Mason Mount,382,2,0,0,0.0873252004384994,6,EVE,1070,1040,CHE,1220,1220,1.5417903999999998,7.2,1.5479726,3.8,1.5417903999999998,7.2,1.5479726,3.8,1.2355346,5.0,1.767569,7.8,1.2355346,5.0,1.767569,7.8,2022,MID,
0,0,11,0,22.4,142,0.1017469987273216,0.23,0.1749089956283569,1.01,15,2,0,6.1,24.2,2022-08-14,90,18,0,0,0,0,2,0,767728,1,2,2,14.0,2,-101419,18430,119849,80,True,0,Mason Mount,382,2,1,0,0.1749089956283569,6,TOT,1210,1230,CHE,1190,1140,1.92315,7.0,0.541983,3.0,1.92315,7.0,0.541983,3.0,1.6172,12.0,0.386546,7.0,1.6172,12.0,0.386546,7.0,2022,MID,
0,0,15,0,56.0,142,0.2245000004768371,0.45,0.2056130021810531,2.22,25,3,0,13.7,25.6,2022-08-21,76,24,0,0,0,0,3,0,735805,1,0,3,55.0,2,-63671,65234,128905,79,False,0,Mason Mount,382,3,4,0,0.2056130021810531,6,LEE,1070,1130,CHE,1220,1220,1.8813,9.5,1.0645315,2.5,1.8813,9.5,1.0645315,2.5,1.443055,7.0,1.255125,6.5,1.443055,7.0,1.255125,6.5,2022,MID,
0,0,4,0,11.1,142,0.0177414007484912,0.0,0.0,0.56,35,0,0,2.2,8.6,2022-08-27,45,11,0,0,0,0,4,0,583717,1,1,2,2.0,1,-165482,21525,187007,78,True,0,Mason Mount,382,0,1,0,0.0,6,LEI,1110,1120,CHE,1190,1140,1.4850306666666666,8.666666666666666,1.4462576666666669,2.0,1.4850306666666666,8.666666666666666,1.4462576666666669,2.0,0.4631073333333333,5.0,1.7277723333333332,5.666666666666667,0.4631073333333333,5.0,1.7277723333333332,5.666666666666667,2022,MID,
1,0,20,0,27.9,142,0.2441429942846298,0.24,0.1138209998607635,1.1,50,2,0,9.6,12.0,2022-08-30,90,17,0,0,0,0,5,0,461319,1,1,2,56.0,5,-133488,14897,148385,77,False,0,Mason Mount,382,2,2,0,0.1138209998607635,6,SOU,1070,1060,CHE,1220,1220,1.551063,7.25,1.57475075,4.0,1.551063,7.25,1.57475075,4.0,1.0990065,6.5,1.3001695,9.25,1.0990065,6.5,1.3001695,9.25,2022,MID,
0,0,5,0,3.1,142,0.0,0.01,0.0,1.05,54,1,0,0.8,4.4,2022-09-03,30,19,0,0,0,0,6,0,424810,0,1,2,0.0,1,-47298,17801,65099,77,True,0,Mason Mount,382,0,0,0,0.0,6,WHU,1150,1110,CHE,1190,1140,1.4464505,7.25,1.79947,4.0,1.5417904,7.2,1.5479726,3.8,1.17805825,4.75,1.2064975,4.0,0.9916842,4.2,1.482676,5.4,2022,MID,
0,0,5,0,32.9,142,0.1568270027637481,0.27,0.2000090032815933,0.37,83,1,0,4.7,0.0,2022-10-01,83,7,0,0,0,0,9,0,366167,1,2,1,14.0,1,7186,30937,23751,76,False,1,Mason Mount,382,3,2,0,0.2000090032815933,6,CRY,1110,1060,CHE,1220,1220,1.16342125,5.25,1.7576,3.75,1.4027141666666667,6.666666666666667,1.5265771666666668,3.333333333333333,1.175326,3.5,1.928482,9.75,1.2587256666666666,4.0,1.897649666666667,12.0,2022,MID,
2,3,38,1,67.3,142,0.4829260110855102,0.56,0.1763100028038025,1.04,94,0,0,14.2,44.2,2022-10-08,71,20,0,0,0,0,10,0,357292,1,0,3,30.0,12,-11870,22450,34320,76,True,0,Mason Mount,382,3,5,0,0.1763100028038025,6,WOL,1100,1080,CHE,1190,1140,1.30406325,6.5,1.38264,4.0,1.3816207142857144,7.428571428571429,1.4099047142857144,3.142857142857143,0.87995825,9.0,1.00848875,7.75,0.926875125,6.875,1.176369375,7.375,2022,MID,
0,3,47,1,11.3,142,0.0,0.48,0.6622809767723083,1.79,101,0,2,13.2,76.8,2022-10-16,90,2,0,0,0,0,11,0,510937,1,2,0,44.0,15,142637,156022,13385,76,False,1,Mason Mount,382,3,0,2,0.6622809767723083,6,AVL,1070,1070,CHE,1220,1220,1.47450325,8.5,1.07969475,2.5,1.512783125,7.875,1.32722275,3.25,1.04416975,7.25,0.664926,5.0,0.9708983333333332,7.0,1.1854204444444445,6.222222222222222,2022,MID,
0,0,7,1,6.8,142,0.0,0.04,0.0,0.96,113,0,0,1.4,2.8,2022-10-19,61,4,0,0,0,0,12,0,1777203,1,0,0,4.0,3,707319,723244,15925,77,False,0,Mason Mount,382,0,0,0,0.0,6,BRE,1100,1130,CHE,1220,1220,1.40743575,8.0,1.3308347500000002,3.25,1.4820772222222225,7.555555555555555,1.4514668888888889,3.555555555555556,1.1567825,6.0,1.670332,9.5,1.5190057,6.0,1.5160414000000002,7.8,2022,MID,
0,0,7,0,17.3,142,0.2991659939289093,0.28,0.0,0.84,122,1,0,3.2,6.4,2022-10-22,90,14,0,0,0,0,13,0,1133200,1,1,1,8.0,2,-65272,123162,188434,77,True,0,Mason Mount,382,0,1,0,0.0,6,MUN,1220,1220,CHE,1190,1140,1.36995375,10.5,1.33900475,4.75,1.38961,8.2,1.4515482,3.9,1.666315,7.75,1.2058874999999998,10.0,1.5472288,8.4,1.2859826,9.3,2022,MID,
