assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,256,0,0,0.0,0.0,2024-02-24 15:00:00+00:00,0,6,0,0,0,0,26,0,0,0,0,3,0.0,0,0,0,0,45,True,0,3,Kaden Rodney,8,BUR,1050,1050,CRY,1080,1060,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,270,0,0,0.0,0.0,2024-03-02 15:00:00+00:00,0,18,0,0,0,0,27,0,20,0,1,3,0.0,0,8,10,2,45,False,0,3,Kaden Rodney,8,TOT,1110,1230,CRY,1120,1085,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,276,0,0,0.0,0.0,2024-03-09 15:00:00+00:00,0,12,0,0,0,0,28,0,45,0,1,1,0.0,0,16,16,0,45,True,0,3,Kaden Rodney,8,LUT,1060,1120,CRY,1080,1060,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,298,0,0,0.0,0.0,2024-03-30 15:00:00+00:00,0,16,0,0,0,0,30,0,86,0,1,1,0.0,0,3,10,7,45,False,0,3,Kaden Rodney,8,NFO,1050,1080,CRY,1120,1085,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2024-04-02 18:45:00+00:00,0,3,0,0,0,0,31,0,95,0,0,1,0.0,0,5,14,9,45,False,0,3,Kaden Rodney,8,BOU,1055,1145,CRY,1120,1085,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2024-04-06 11:30:00+00:00,0,13,0,0,0,0,32,0,107,0,4,2,0.0,0,5,15,10,45,True,0,3,Kaden Rodney,8,MCI,1360,1370,CRY,1080,1060,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,326,0,0,0.0,0.0,2024-04-14 13:00:00+00:00,0,11,0,0,0,0,33,0,111,0,1,0,0.0,0,-8,8,16,45,False,0,3,Kaden Rodney,8,LIV,1210,1270,CRY,1120,1085,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2024-04-21 14:00:00+00:00,0,19,0,0,0,0,34,0,108,0,2,5,0.0,0,-5,5,10,45,True,0,3,Kaden Rodney,8,WHU,1140,1150,CRY,1080,1060,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,284,0,0,0.0,0.0,2024-04-24 19:00:00+00:00,0,15,0,0,0,0,34,0,108,0,0,2,0.0,0,-5,5,10,45,True,0,3,Kaden Rodney,8,NEW,1210,1355,CRY,1080,1060,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,344,0,0,0.0,0.0,2024-04-27 14:00:00+00:00,0,10,0,0,0,0,35,0,122,0,1,1,0.0,0,2,7,5,45,False,0,3,Kaden Rodney,8,FUL,1050,1060,CRY,1120,1085,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,356,0,0,0.0,0.0,2024-05-06 19:00:00+00:00,0,14,0,0,0,0,36,0,127,0,0,4,0.0,0,1,6,5,45,True,0,3,Kaden Rodney,8,MUN,1210,1230,CRY,1080,1060,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,370,0,0,0.0,0.0,2024-05-11 14:00:00+00:00,0,20,0,0,0,0,37,0,152,0,3,1,0.0,0,17,23,6,45,False,0,3,Kaden Rodney,8,WOL,1085,1115,CRY,1120,1085,1,2023
0,0,0,0,0.0,647,0.0,0.0,0.0,0.0,376,0,0,0.0,0.0,2024-05-19 15:00:00+00:00,0,2,0,0,0,0,38,0,186,0,0,5,0.0,0,21,28,7,45,True,0,3,Kaden Rodney,8,AVL,1220,1350,CRY,1080,1060,1,2023
