assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1295,221,0,0,0.0,0.0,2022-01-23 14:00:00+00:00,0,5,0,0,0,0,23,0,0,0,0,0.0,0,0,0,0,45,True,0,4,Mika Biereth,1,BUR,1130,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,236,0,0,0.0,0.0,2022-02-10 19:45:00+00:00,0,20,0,0,0,0,24,0,1944,1,0,0.0,0,1483,1855,372,45,False,0,4,Mika Biereth,1,WOL,1150,1080,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,251,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,3,0,0,0,0,26,0,5113,1,2,0.0,0,1027,2088,1061,45,True,0,4,Mika Biereth,1,BRE,1150,1120,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,191,0,0,0.0,0.0,2022-02-24 19:45:00+00:00,0,20,0,0,0,0,26,0,5113,1,2,0.0,0,1027,2088,1061,45,True,0,4,Mika Biereth,1,WOL,1160,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,279,0,0,0.0,0.0,2022-03-06 14:00:00+00:00,0,18,0,0,0,0,28,0,6380,3,2,0.0,0,405,1302,897,45,False,0,4,Mika Biereth,1,WAT,1090,1120,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,281,0,0,0.0,0.0,2022-03-13 16:30:00+00:00,0,9,0,0,0,0,29,0,9198,0,2,0.0,0,1736,2911,1175,45,True,0,4,Mika Biereth,1,LEI,1080,1160,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,261,0,0,0.0,0.0,2022-03-16 20:15:00+00:00,0,11,0,0,0,0,29,0,9198,2,0,0.0,0,1736,2911,1175,45,True,0,4,Mika Biereth,1,LIV,1350,1350,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,291,0,0,0.0,0.0,2022-03-19 12:30:00+00:00,0,2,0,0,0,0,30,0,8359,1,0,0.0,0,89,1264,1175,45,False,0,4,Mika Biereth,1,AVL,1140,1090,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,304,0,0,0.0,0.0,2022-04-04 19:00:00+00:00,0,7,0,0,0,0,31,0,10267,0,3,0.0,0,1225,2034,809,45,False,0,4,Mika Biereth,1,CRY,1110,1080,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,311,0,0,0.0,0.0,2022-04-09 14:00:00+00:00,0,4,0,0,0,0,32,0,10932,2,1,0.0,0,620,1483,863,45,True,0,4,Mika Biereth,1,BHA,1160,1120,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,326,0,0,0.0,0.0,2022-04-16 14:00:00+00:00,0,16,0,0,0,0,33,0,13831,0,1,0.0,0,1316,2583,1267,45,False,0,4,Mika Biereth,1,SOU,1090,1120,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,243,0,0,0.0,0.0,2022-04-20 18:45:00+00:00,0,6,0,0,0,0,33,0,13831,4,2,0.0,0,1316,2583,1267,45,False,0,4,Mika Biereth,1,CHE,1300,1250,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,331,0,0,0.0,0.0,2022-04-23 11:30:00+00:00,0,13,0,0,0,0,34,0,17188,1,3,0.0,0,3507,4795,1288,45,True,0,4,Mika Biereth,1,MUN,1190,1200,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,349,0,0,0.0,0.0,2022-05-01 15:30:00+00:00,0,19,0,0,0,0,35,0,17217,2,1,0.0,0,618,2670,2052,45,False,0,4,Mika Biereth,1,WHU,1110,1160,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,351,0,0,0.0,0.0,2022-05-08 13:00:00+00:00,0,10,0,0,0,0,36,0,20418,1,2,0.0,0,1154,3389,2235,45,True,0,4,Mika Biereth,1,LEE,1070,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,1295,218,0,0,0.0,0.0,2022-05-12 18:45:00+00:00,0,17,0,0,0,0,36,0,20418,0,3,0.0,0,1154,3389,2235,45,False,0,4,Mika Biereth,1,TOT,1190,1210,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,365,0,0,0.0,0.0,2022-05-16 19:00:00+00:00,0,14,0,0,0,0,37,0,17681,0,2,0.0,0,-703,1401,2104,45,False,0,4,Mika Biereth,1,NEW,1050,1040,ARS,1210,1220,1,2021
0,0,0,0,0.0,1295,371,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,8,0,0,0,0,38,0,19331,1,5,0.0,0,598,2186,1588,45,True,0,4,Mika Biereth,1,EVE,1090,1110,ARS,1150,1190,1,2021
