assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2022-11-12 12:30:00+00:00,0,4,0,0,0,0,16,0,721,0,2,1,0.0,0,-17,21,38,45,True,0,3,Ben Knight,13,BRE,1160,1200,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,167,0,0,0.0,0.0,2022-12-28 20:00:00+00:00,0,11,0,0,0,0,17,0,766,0,3,1,0.0,0,-11,59,70,45,False,0,3,Ben Knight,13,LEE,1070,1130,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2022-12-31 15:00:00+00:00,0,8,0,0,0,0,18,0,777,0,1,1,0.0,0,-6,13,19,45,True,0,3,Ben Knight,13,EVE,1100,1090,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,184,0,0,0.0,0.0,2023-01-05 20:00:00+00:00,0,6,0,0,0,0,19,0,790,0,1,0,0.0,0,3,13,10,45,False,0,3,Ben Knight,13,CHE,1190,1140,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,196,0,0,0.0,0.0,2023-01-14 12:30:00+00:00,0,14,0,0,0,0,20,0,821,0,1,2,0.0,0,14,44,30,45,False,0,3,Ben Knight,13,MUN,1140,1165,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2023-01-19 20:00:00+00:00,0,18,0,0,0,0,20,0,821,0,2,4,0.0,0,14,44,30,45,True,0,3,Ben Knight,13,TOT,1210,1230,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2023-01-22 14:00:00+00:00,0,20,0,0,0,0,21,0,818,0,0,3,0.0,0,-18,16,34,45,True,0,3,Ben Knight,13,WOL,1100,1080,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,219,0,0,0.0,0.0,2023-02-05 16:30:00+00:00,0,18,0,0,0,0,22,0,841,0,0,1,0.0,0,3,25,22,45,False,0,3,Ben Knight,13,TOT,1140,1170,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2023-02-12 16:30:00+00:00,0,2,0,0,0,0,23,0,848,0,1,3,0.0,0,-5,14,19,45,True,0,3,Ben Knight,13,AVL,1075,1130,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-02-15 19:30:00+00:00,0,1,0,0,0,0,23,0,848,0,3,1,0.0,0,-5,14,19,45,False,0,3,Ben Knight,13,ARS,1250,1240,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18 15:00:00+00:00,0,16,0,0,0,0,24,0,872,0,1,1,0.0,0,4,17,13,45,False,0,3,Ben Knight,13,NFO,1065,1030,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2023-02-25 17:30:00+00:00,0,3,0,0,0,0,25,0,914,0,4,1,0.0,0,12,24,12,45,False,0,3,Ben Knight,13,BOU,1020,1050,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,257,0,0,0.0,0.0,2023-03-04 12:30:00+00:00,0,15,0,0,0,0,26,0,918,0,0,2,0.0,0,3,24,21,45,True,0,3,Ben Knight,13,NEW,1300,1220,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,262,0,0,0.0,0.0,2023-03-11 17:30:00+00:00,0,7,0,0,0,0,27,0,943,0,1,0,0.0,0,1,23,22,45,False,0,3,Ben Knight,13,CRY,1110,1060,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2023-04-01 11:30:00+00:00,0,12,0,0,0,0,29,0,982,0,1,4,0.0,0,15,28,13,45,True,0,3,Ben Knight,13,LIV,1250,1300,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,298,0,0,0.0,0.0,2023-04-08 16:30:00+00:00,0,17,0,0,0,0,30,0,991,0,4,1,0.0,0,-2,19,21,45,False,0,3,Ben Knight,13,SOU,1070,1060,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,305,0,0,0.0,0.0,2023-04-15 16:30:00+00:00,0,10,0,0,0,0,31,0,991,0,1,3,0.0,0,-12,11,23,45,True,0,3,Ben Knight,13,LEI,1110,1120,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,329,0,0,0.0,0.0,2023-04-26 19:00:00+00:00,0,1,0,0,0,0,33,0,998,0,1,4,0.0,0,-6,6,12,45,True,0,3,Ben Knight,13,ARS,1250,1320,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2023-04-30 13:00:00+00:00,0,9,0,0,0,0,34,0,1005,0,2,1,0.0,0,-1,16,17,45,False,0,3,Ben Knight,13,FUL,1070,1120,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,277,0,0,0.0,0.0,2023-05-03 19:00:00+00:00,0,19,0,0,0,0,34,0,1005,0,0,3,0.0,0,-1,16,17,45,True,0,3,Ben Knight,13,WHU,1150,1110,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,345,0,0,0.0,0.0,2023-05-06 14:00:00+00:00,0,11,0,0,0,0,35,0,1029,0,1,2,0.0,0,11,22,11,45,True,0,3,Ben Knight,13,LEE,1075,1120,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,356,0,0,0.0,0.0,2023-05-14 13:00:00+00:00,0,8,0,0,0,0,36,0,1033,0,3,0,0.0,0,-4,12,16,45,False,0,3,Ben Knight,13,EVE,1070,1040,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,365,0,0,0.0,0.0,2023-05-21 15:00:00+00:00,0,6,0,0,0,0,37,0,1040,0,0,1,0.0,0,0,10,10,45,True,0,3,Ben Knight,13,CHE,1220,1220,MCI,1340,1360,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2023-05-24 19:00:00+00:00,0,5,0,0,0,0,37,0,1040,0,1,1,0.0,0,0,10,10,45,False,0,3,Ben Knight,13,BHA,1140,1200,MCI,1340,1380,1,2022
0,0,0,0,0.0,1203,0.0,0.0,0.0,0.0,373,0,0,0.0,0.0,2023-05-28 15:30:00+00:00,0,4,0,0,0,0,38,0,1056,0,0,1,0.0,0,9,27,18,45,False,0,3,Ben Knight,13,BRE,1100,1130,MCI,1340,1380,1,2022
