assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
1,0,16,0,18.3,345,4,3,0,5.5,26.4,2021-08-14 14:00:00+00:00,90,8,0,0,0,0,1,0,122487,1,3,10.0,5,0,0,0,70,False,0,4,Che Adams,16,1,EVE,1130,1110,SOU,1140,1090,1,2021
1,0,13,0,25.6,345,19,1,0,4.1,3.6,2021-08-22 13:00:00+00:00,90,13,0,0,0,0,2,0,129701,1,1,12.0,5,-5308,11466,16774,70,True,0,4,Che Adams,16,2,MUN,1190,1200,SOU,1090,1120,1,2021
0,0,5,0,12.9,345,25,1,0,5.0,3.6,2021-08-28 14:00:00+00:00,70,14,0,0,0,0,3,0,176201,2,2,33.0,2,34361,57430,23069,70,False,0,4,Che Adams,16,3,NEW,1050,1040,SOU,1140,1090,1,2021
0,0,0,0,0.0,345,39,0,0,0.0,0.0,2021-09-11 14:00:00+00:00,0,19,0,0,0,0,4,0,139287,0,0,0.0,0,-38045,14433,52478,70,True,0,4,Che Adams,16,4,WHU,1150,1180,SOU,1090,1120,1,2021
0,0,7,1,10.7,345,45,0,0,1.7,0.2,2021-09-18 14:00:00+00:00,67,12,0,0,0,0,5,0,109201,0,0,6.0,2,-32175,4575,36750,70,False,0,4,Che Adams,16,5,MCI,1340,1340,SOU,1140,1090,1,2021
0,0,2,0,22.5,345,59,1,0,7.2,11.4,2021-09-26 13:00:00+00:00,63,20,0,0,0,0,6,0,100259,1,0,38.0,2,-11381,6730,18111,69,True,0,4,Che Adams,16,6,WOL,1160,1100,SOU,1090,1120,1,2021
0,0,0,0,0.0,345,63,0,0,0.0,0.0,2021-10-02 14:00:00+00:00,0,6,0,0,0,0,7,0,88761,1,3,0.0,0,-12174,2020,14194,69,False,0,4,Che Adams,16,7,CHE,1300,1250,SOU,1140,1090,1,2021
0,0,0,0,0.0,345,79,0,0,0.0,0.0,2021-10-16 14:00:00+00:00,0,10,0,0,0,0,8,0,72172,0,1,0.0,0,-17238,1670,18908,68,True,0,4,Che Adams,16,8,LEE,1070,1100,SOU,1090,1120,1,2021
0,0,2,0,1.3,345,89,0,0,0.3,0.0,2021-10-23 14:00:00+00:00,11,5,0,0,0,0,9,0,65869,2,2,4.0,1,-6944,2150,9094,68,True,0,4,Che Adams,16,9,BUR,1130,1100,SOU,1090,1120,1,2021
0,1,28,1,11.4,345,99,0,1,7.7,33.2,2021-10-30 14:00:00+00:00,90,18,0,0,0,0,10,0,65952,1,0,32.0,7,-944,3840,4784,68,False,0,4,Che Adams,16,10,WAT,1090,1120,SOU,1140,1090,1,2021
0,0,12,1,13.2,345,109,0,0,5.2,13.8,2021-11-05 20:00:00+00:00,90,2,0,0,0,0,11,0,83595,0,1,25.0,2,15177,18907,3730,68,True,0,4,Che Adams,16,11,AVL,1110,1090,SOU,1090,1120,1,2021
0,3,32,0,10.6,345,117,1,1,9.2,39.4,2021-11-20 15:00:00+00:00,61,15,0,0,0,0,12,0,97028,1,2,42.0,9,12203,20956,8753,68,False,0,4,Che Adams,16,12,NOR,1040,1040,SOU,1140,1090,1,2021
0,0,4,0,4.9,345,128,3,0,1.3,3.8,2021-11-27 15:00:00+00:00,45,11,0,0,0,0,13,0,95196,0,4,4.0,1,-1820,9251,11071,68,False,0,4,Che Adams,16,13,LIV,1300,1340,SOU,1140,1090,1,2021
0,3,30,0,1.6,345,139,2,1,11.3,40.4,2021-12-01 19:30:00+00:00,90,9,0,0,0,0,14,0,94675,2,2,71.0,9,-1028,5608,6636,68,True,0,4,Che Adams,16,14,LEI,1080,1160,SOU,1090,1120,1,2021
0,0,8,0,11.7,345,146,1,0,4.8,7.4,2021-12-04 15:00:00+00:00,90,4,0,0,0,0,15,0,147229,1,1,29.0,2,49487,54613,5126,68,True,0,4,Che Adams,16,15,BHA,1160,1120,SOU,1090,1120,1,2021
0,0,0,0,0.0,345,151,0,0,0.0,0.0,2021-12-11 15:00:00+00:00,0,1,0,0,0,0,16,0,132528,0,3,0.0,0,-12551,16842,29393,68,False,0,4,Che Adams,16,16,ARS,1150,1190,SOU,1140,1090,1,2021
0,0,0,0,0.0,345,165,0,0,0.0,0.0,2021-12-15 19:30:00+00:00,0,7,0,0,0,0,17,0,95703,2,2,0.0,0,-37231,486,37717,68,False,0,4,Che Adams,16,17,CRY,1110,1080,SOU,1140,1090,1,2021
0,0,3,0,1.3,345,189,0,0,0.2,0.2,2021-12-26 15:00:00+00:00,9,19,0,0,0,0,19,0,73827,3,2,0.0,1,-7244,854,8098,68,False,0,4,Che Adams,16,19,WHU,1110,1160,SOU,1140,1090,1,2021
